Date,mean,std,count
2020-06-30,-0.22342384,0.21533898,14
2020-07-31,-0.4282347,0.2574714,65
2020-07-31,-0.33806175,0.27923837,20
2020-08-31,-0.34168318,0.2333791,12
2020-08-31,-0.3633158,0.26847738,52
2020-09-30,-0.3379773,0.26075584,18
2020-09-30,-0.37158945,0.2723913,65
2020-10-31,-0.29700026,0.26614407,19
2020-10-31,-0.36331877,0.26558337,78
2020-11-30,-0.33059618,0.31842044,19
2020-11-30,-0.38249922,0.29136053,56
2020-12-31,-0.26930797,0.2489514,24
2020-12-31,-0.3584352,0.264169,69
2021-01-31,-0.23801182,0.24416192,16
2021-01-31,-0.3692266,0.2692419,85
2021-02-28,-0.35781068,0.28711373,83
2021-02-28,-0.30865455,0.2529523,17
2021-03-31,-0.43184066,0.25408092,20
2021-03-31,-0.3501374,0.2630703,106
2021-04-30,-0.2979239,0.24673703,18
2021-04-30,-0.3661842,0.26341197,96
2021-05-31,-0.33507803,0.27324247,30
2021-05-31,-0.41719764,0.2923503,95
2021-06-30,-0.31310168,0.24929859,16
2021-06-30,-0.3526885,0.25839877,122
2021-07-31,-0.35191754,0.3022575,24
2021-07-31,-0.37460566,0.27490395,110
2021-08-31,-0.4031677,0.31002194,26
2021-08-31,-0.38764882,0.30319166,103
2021-09-30,-0.39714652,0.28300434,119
2021-09-30,-0.3021086,0.22340372,32
2021-10-31,-0.3378688,0.25896946,123
2021-10-31,-0.3894559,0.30848983,26
2021-11-30,-0.39285538,0.2996203,136
2021-11-30,-0.29742283,0.24545008,32
2021-12-31,-0.36545986,0.2585612,151
2021-12-31,-0.24941851,0.23389877,34
2022-01-31,-0.31317332,0.25308317,45
2022-01-31,-0.3487373,0.26417837,183
2022-02-28,-0.36194664,0.26684952,188
2022-02-28,-0.2722766,0.23401922,41
2022-03-31,-0.23903134,0.2428961,52
2022-03-31,-0.39408207,0.28348863,178
2022-04-30,-0.3209576,0.21694924,42
2022-04-30,-0.3490742,0.27671927,195
2022-05-31,-0.33397678,0.23851956,32
2022-05-31,-0.3411995,0.27748284,117
2022-06-30,-0.3801286,0.30773386,140
2022-06-30,-0.3743016,0.23327549,45
2022-07-31,-0.36807466,0.2848122,165
2022-07-31,-0.31861207,0.2654696,52
2022-08-31,-0.35576633,0.2700299,195
2022-08-31,-0.29959777,0.23841874,56
2022-09-30,-0.32122177,0.23241612,47
2022-09-30,-0.36792922,0.28047714,159
2022-10-31,-0.36102518,0.28541905,151
2022-10-31,-0.35544318,0.2580932,49
2022-11-30,-0.33779845,0.25306335,45
2022-11-30,-0.39196408,0.26054654,150
2022-12-31,-0.3906649,0.29849026,311
2022-12-31,-0.36540803,0.29128087,66
2023-01-31,-0.44158274,0.32888794,445
2023-01-31,-0.35466653,0.275584,1624
2023-02-28,-0.34974954,0.2668833,468
2023-02-28,-0.41534004,0.29260996,136
2023-03-31,-0.4245802,0.30943313,99
2023-03-31,-0.38264945,0.2790406,370
2023-04-30,-0.3757655,0.28470084,53
2023-04-30,-0.36246237,0.26132914,271
2023-05-31,-0.3771343,0.29087654,97
