Date,mean,std,count
2019-11-30,-0.99998146,3.0072034e-08,11
2019-12-31,-0.9999814,7.91036e-08,69
2019-12-31,-0.99998146,3.876946e-08,13
2020-01-31,-0.99998134,1.3736948e-07,65
2020-01-31,-0.99998134,2.1331213e-07,13
2020-02-29,-0.9999814,7.035302e-08,48
2020-02-29,-0.99998146,2.84154e-08,22
2020-03-31,-0.9999814,5.352232e-08,23
2020-03-31,-0.9999814,5.5091988e-08,66
2020-04-30,-0.9999814,5.6630903e-08,89
2020-04-30,-0.99998146,4.6345253e-08,18
2020-05-31,-0.9999814,3.6178648e-08,19
2020-05-31,-0.99998146,7.200723e-08,74
2020-06-30,-0.9999814,1.8967992e-07,66
2020-06-30,-0.99998146,7.3000486e-08,25
2020-07-31,-0.99998146,6.655025e-08,65
2020-07-31,-0.9999814,3.5658065e-08,20
2020-08-31,-0.9999814,7.050052e-08,54
2020-08-31,-0.9999814,3.0779706e-08,10
2020-09-30,-0.99998146,3.514244e-08,21
2020-09-30,-0.9999814,1.6156817e-07,62
2020-10-31,-0.9999814,3.5658065e-08,20
2020-10-31,-0.99998134,3.1188497e-07,77
2020-11-30,-0.99998146,2.5498428e-08,18
2020-11-30,-0.9999814,9.477318e-08,57
2020-12-31,-0.99998146,7.3162525e-08,25
2020-12-31,-0.9999814,2.0916315e-07,68
2021-01-31,-0.99998146,7.1229536e-08,18
2021-01-31,-0.9999814,1.16256416e-07,83
2021-02-28,-0.9999814,9.156639e-08,25
2021-02-28,-0.9999814,9.783906e-08,75
2021-03-31,-0.9999814,1.0872507e-07,99
2021-03-31,-0.9999814,9.769726e-08,27
2021-04-30,-0.9999814,1.03960225e-07,20
2021-04-30,-0.9999814,1.3080863e-07,94
2021-05-31,-0.99998146,3.970416e-08,22
2021-05-31,-0.9999814,1.2876075e-07,103
2021-06-30,-0.9999814,5.917859e-08,27
2021-06-30,-0.99998134,1.0149015e-07,111
2021-07-31,-0.9999814,6.771036e-08,21
2021-07-31,-0.9999814,7.1032034e-08,113
2021-08-31,-0.9999814,5.086215e-08,34
2021-08-31,-0.99998146,9.162981e-08,95
2021-09-30,-0.9999814,7.0639885e-08,27
2021-09-30,-0.9999814,1.2987752e-07,124
2021-10-31,-0.99998146,7.8776885e-08,118
2021-10-31,-0.9999814,3.4301568e-08,31
2021-11-30,-0.99998134,1.639259e-07,131
2021-11-30,-0.99998146,4.1056936e-08,37
2021-12-31,-0.99998146,9.8121454e-08,163
2021-12-31,-0.99998146,2.0936136e-08,22
2022-01-31,-0.99998146,1.8799649e-07,194
2022-01-31,-0.99998146,3.045913e-08,34
2022-02-28,-0.9999814,2.7955341e-08,39
2022-02-28,-0.99998146,1.2389583e-07,190
2022-03-31,-0.99998146,9.080174e-08,181
2022-03-31,-0.9999814,6.046014e-08,49
2022-04-30,-0.9999814,5.83623e-08,38
2022-04-30,-0.99998146,7.892183e-08,199
2022-05-31,-0.9999814,8.2901316e-08,27
2022-05-31,-0.9999814,5.9576376e-08,122
2022-06-30,-0.99998146,5.1705964e-08,45
2022-06-30,-0.99998134,9.252379e-08,140
2022-07-31,-0.99998146,1.0295486e-07,167
2022-07-31,-0.99998146,3.3824826e-08,50
2022-08-31,-0.9999814,1.0654465e-07,202
2022-08-31,-0.99998146,3.8592233e-08,49
2022-09-30,-0.99998134,9.4674164e-08,172
2022-09-30,-0.9999814,3.914771e-08,34
2022-10-31,-0.9999814,9.384018e-08,38
2022-10-31,-0.99998146,1.12074225e-07,162
2022-11-30,-0.9999814,9.600734e-08,155
2022-11-30,-0.9999814,2.0271422e-07,40
2022-12-31,-0.99998146,1.4612748e-07,67
2022-12-31,-0.9999814,1.7379405e-07,310
2023-01-31,-0.99998146,1.2865404e-07,1644
2023-01-31,-0.9999813,4.7097072e-07,425
2023-02-28,-0.99998134,1.4969645e-07,139
2023-02-28,-0.9999814,9.5803294e-08,465
2023-03-31,-0.9999814,1.073948e-07,378
2023-03-31,-0.9999814,2.495015e-07,91
2023-04-30,-0.9999814,8.057266e-08,61
2023-04-30,-0.99998146,8.7794895e-08,263
2023-05-31,-0.9999813,2.2295362e-07,111
2023-05-31,-0.9999814,1.1792281e-07,381
2023-06-30,-0.9999814,1.7213485e-07,84
2023-06-30,-0.9999814,1.00326346e-07,297
2023-07-31,-0.9999814,6.970217e-08,255
2023-07-31,-0.99998146,1.06298806e-07,60
2023-08-31,-0.99998146,1.2388239e-07,81
2023-08-31,-0.99998134,1.3768769e-07,303
2023-09-30,-0.9999814,7.9563115e-08,66
2023-09-30,-0.9999814,7.828381e-08,216
2023-10-31,-0.9999814,7.4723765e-08,62
2023-10-31,-0.99998134,1.920505e-07,249
2023-11-30,-0.9999814,1.4600629e-07,258
2023-11-30,-0.99998146,7.6624914e-08,67
2023-12-31,-0.99998134,1.9154974e-07,60
2023-12-31,-0.9999814,1.0278307e-07,248
2024-01-31,-0.9999814,4.6863878e-08,55
2024-01-31,-0.99998134,8.6073605e-08,267
2024-02-29,-0.99998146,4.6611383e-08,65
2024-02-29,-0.9999814,1.1200128e-07,259
2024-03-31,-0.9999814,1.4577972e-07,57
2024-03-31,-0.99998134,1.1540892e-07,257
2024-04-30,-0.9999814,1.3731395e-07,62
2024-04-30,-0.9999814,9.0098744e-08,271
2024-05-31,-0.9999814,1.1202268e-07,75
2024-05-31,-0.99998146,1.05653456e-07,291
2024-06-30,-0.9999814,3.2836443e-08,69
2024-06-30,-0.99998134,1.3769575e-07,262
2024-07-31,-0.9999814,1.1889108e-07,272
2024-07-31,-0.99998146,8.525544e-08,84
2024-08-31,-0.99998146,4.9407706e-08,79
2024-08-31,-0.9999814,8.449733e-08,322
2024-09-30,-0.9999814,5.905053e-08,56
2024-09-30,-0.9999814,1.5564352e-07,258
2024-10-31,-0.9999814,4.0462695e-08,66
2024-10-31,-0.9999814,1.3162942e-07,328
2024-11-30,-0.9999814,6.6201395e-08,48
2024-11-30,-0.9999814,1.2049485e-07,220
2024-12-31,-0.99998146,9.723746e-08,143
2024-12-31,-0.9999814,5.1201162e-08,32
